Region;Week;Visits;shop_id
East;2024-05-26 To 2024-06-01;212649;22601
East;2024-06-02 To 2024-06-08;219862;22601
East;2024-06-09 To 2024-06-15;186734;22601
East;2024-06-16 To 2024-06-22;213369;22601
East;2024-06-23 To 2024-06-29;209914;22601
East;2024-06-30 To 2024-07-06;198960;22601
East;2024-07-07 To 2024-07-13;186718;22601
East;2024-07-14 To 2024-07-20;162375;22601
East;2024-07-21 To 2024-07-27;156400;22601
East;2024-07-28 To 2024-08-03;157522;22601
East;2024-08-04 To 2024-08-10;157345;22601
East;2024-08-11 To 2024-08-17;148957;22601
East;2024-08-18 To 2024-08-24;161979;22601
East;2024-08-25 To 2024-08-31;180461;22601
East;2024-09-01 To 2024-09-07;159461;22601
East;2024-09-08 To 2024-09-14;161167;22601
East;2024-09-15 To 2024-09-21;165410;22601
East;2024-09-22 To 2024-09-28;170577;22601
East;2024-09-29 To 2024-10-05;157076;22601
East;2024-10-06 To 2024-10-12;178178;22601
East;2024-10-13 To 2024-10-19;166153;22601
East;2024-10-20 To 2024-10-26;171940;22601
East;2024-10-27 To 2024-11-02;155256;22601
East;2024-11-03 To 2024-11-09;174037;22601
East;2024-11-10 To 2024-11-16;197347;22601
East;2024-11-17 To 2024-11-23;199216;22601
East;2024-11-24 To 2024-11-30;186300;22601
East;2024-12-01 To 2024-12-07;197396;22601
East;2024-12-08 To 2024-12-14;179177;22601
East;2024-12-15 To 2024-12-21;196087;22601
East;2024-12-22 To 2024-12-28;167870;22601
East;2024-12-29 To 2025-01-04;166039;22601
East;2023-10-01 To 2023-10-07;66496;22604
East;2023-10-08 To 2023-10-14;69148;22604
East;2023-10-15 To 2023-10-21;71917;22604
East;2023-10-22 To 2023-10-28;75411;22604
East;2023-10-29 To 2023-11-04;81531;22604
East;2023-11-05 To 2023-11-11;75595;22604
East;2023-11-12 To 2023-11-18;70241;22604
East;2023-11-19 To 2023-11-25;74541;22604
East;2023-11-26 To 2023-12-02;82854;22604
East;2023-12-03 To 2023-12-09;72450;22604
East;2023-12-10 To 2023-12-16;74595;22604
East;2023-12-17 To 2023-12-23;70535;22604
East;2023-12-24 To 2023-12-30;73661;22604
East;2023-12-31 To 2024-01-06;62959;22604
East;2024-01-07 To 2024-01-13;66408;22604
East;2024-01-14 To 2024-01-20;67315;22604
East;2024-01-21 To 2024-01-27;83925;22604
East;2024-01-28 To 2024-02-03;86409;22604
East;2024-02-04 To 2024-02-10;69933;22604
East;2024-02-11 To 2024-02-17;64592;22604
East;2024-02-18 To 2024-02-24;73963;22604
East;2024-02-25 To 2024-03-02;76209;22604
East;2024-03-03 To 2024-03-09;77857;22604
East;2024-03-10 To 2024-03-16;77242;22604
East;2024-03-17 To 2024-03-23;69423;22604
East;2024-03-24 To 2024-03-30;93997;22604
East;2024-03-31 To 2024-04-06;78094;22604
East;2024-04-07 To 2024-04-13;80334;22604
East;2024-04-14 To 2024-04-20;65520;22604
East;2024-04-21 To 2024-04-27;71848;22604
East;2024-04-28 To 2024-05-04;65839;22604
East;2024-05-05 To 2024-05-11;66245;22604
East;2024-05-12 To 2024-05-18;73101;22604
East;2024-05-19 To 2024-05-25;98014;22604
East;2024-05-26 To 2024-06-01;101956;22604
East;2024-06-02 To 2024-06-08;86213;22604
East;2024-06-09 To 2024-06-15;77697;22604
East;2024-06-16 To 2024-06-22;73546;22604
East;2024-06-23 To 2024-06-29;87137;22604
East;2024-06-30 To 2024-07-06;88285;22604
East;2024-07-07 To 2024-07-13;80838;22604
East;2024-07-14 To 2024-07-20;78534;22604
East;2024-07-21 To 2024-07-27;80768;22604
East;2024-07-28 To 2024-08-03;76089;22604
East;2024-08-04 To 2024-08-10;72348;22604
East;2024-08-11 To 2024-08-17;70671;22604
East;2024-08-18 To 2024-08-24;82852;22604
East;2024-08-25 To 2024-08-31;86343;22604
East;2024-09-01 To 2024-09-07;72582;22604
East;2024-09-08 To 2024-09-14;80007;22604
East;2024-09-15 To 2024-09-21;83759;22604
East;2024-09-22 To 2024-09-28;73839;22604
East;2024-09-29 To 2024-10-05;71093;22604
East;2024-10-06 To 2024-10-12;75866;22604
East;2024-10-13 To 2024-10-19;77704;22604
East;2024-10-20 To 2024-10-26;64100;22604
East;2024-10-27 To 2024-11-02;81873;22604
East;2024-11-03 To 2024-11-09;81665;22604
East;2024-11-10 To 2024-11-16;83164;22604
East;2024-11-17 To 2024-11-23;80275;22604
East;2024-11-24 To 2024-11-30;76025;22604
East;2024-12-01 To 2024-12-07;85069;22604
East;2024-12-08 To 2024-12-14;71892;22604
East;2024-12-15 To 2024-12-21;69727;22604
East;2024-12-22 To 2024-12-28;81713;22604
East;2024-12-29 To 2025-01-04;79562;22604
East;2023-10-01 To 2023-10-07;118438;26227
East;2023-10-08 To 2023-10-14;110529;26227
East;2023-10-15 To 2023-10-21;115834;26227
East;2023-10-22 To 2023-10-28;110141;26227
East;2023-10-29 To 2023-11-04;98316;26227
East;2023-11-05 To 2023-11-11;90749;26227
East;2023-11-12 To 2023-11-18;90705;26227
East;2023-11-19 To 2023-11-25;90697;26227
East;2023-11-26 To 2023-12-02;89426;26227
East;2023-12-03 To 2023-12-09;90627;26227
East;2023-12-10 To 2023-12-16;87493;26227
East;2023-12-17 To 2023-12-23;80097;26227
East;2023-12-24 To 2023-12-30;105061;26227
East;2023-12-31 To 2024-01-06;107005;26227
East;2024-01-07 To 2024-01-13;112467;26227
East;2024-01-14 To 2024-01-20;110233;26227
East;2024-01-21 To 2024-01-27;114773;26227
East;2024-01-28 To 2024-02-03;111670;26227
East;2024-02-04 To 2024-02-10;104841;26227
East;2024-02-11 To 2024-02-17;97788;26227
East;2024-02-18 To 2024-02-24;93896;26227
East;2024-02-25 To 2024-03-02;104550;26227
East;2024-03-03 To 2024-03-09;104019;26227
